,Income,Outcome,Balance,is_holiday,is_workday,first_workday,last_workday,usd,eur,ruonia,vol_ruonia,lag_1,lag_in1,lag_out1,lag_2,lag_in2,lag_out2,lag_3,lag_in3,lag_out3,lag_5,lag_in5,lag_out5,rolling_mean_7,rolling_std_7,rolling_min_7,rolling_max_7,rolling_mean_14,rolling_std_14,rolling_min_14,rolling_max_14,diff_1,day_of_month,is_month_start,is_month_end,is_month_start_lag,is_month_end_lag,rate_russ,real_inflation,target_inflation,real_target_diff,rate_usa,tax_may,tax_day,tax_new2,tax_new,plus_new,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_2,quarter_3,quarter_4,year_2018,year_2019,year_2020,year_2021,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6,is_holiday_balance
2017-01-23,1.1107177636043406,1.2200637878081988,-0.10934602420385839,False,True,False,False,59.6697,63.7272,9.82,75.01,-0.11390023104129549,1.0241865620952701,1.1380867931497325,-0.11390023104129549,1.0241865620952701,1.1380867931497325,-0.11390023104129549,1.0241865620952701,1.1380867931497325,-0.12480131562191048,0.7547589142354276,0.8795602298573381,-0.13748783141148263,0.19426788151856555,-0.5485185355650501,0.0579964261304756,-0.035349758348971305,0.2805479103476253,-0.5485185355650501,0.8003907709476724,0.004554206837437097,23,0,0,0.0,0.0,10.0,5.0,4.0,-1.0,1.25,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
2017-01-24,1.0404757744250093,0.967099810132594,0.07337596429241532,False,True,False,False,59.5034,63.9424,9.82,79.24,-0.10934602420385839,1.1107177636043406,1.2200637878081988,-0.11390023104129549,1.0241865620952701,1.1380867931497325,-0.11390023104129549,1.0241865620952701,1.1380867931497325,-0.005390701700006988,0.9498771712289817,0.9552678729316222,-0.16139389574495894,0.17560249890070606,-0.5485185355650501,-0.005390701700006988,-0.03202421446164806,0.2792820562037218,-0.5485185355650501,0.8003907709476724,0.1827219884962737,24,0,0,0.0,0.0,10.0,5.0,4.0,-1.0,1.25,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
2017-01-25,1.0799640656748748,1.1937266380122407,-0.11376257233736582,False,True,False,False,59.2168,63.6225,10.23,123.31,0.07337596429241532,1.0404757744250093,0.967099810132594,-0.10934602420385839,1.1107177636043406,1.2200637878081988,-0.11390023104129549,1.0241865620952701,1.1380867931497325,-0.11390023104129549,1.0241865620952701,1.1380867931497325,-0.07255182433674956,0.07639636835004898,-0.12480131562191048,0.07337596429241532,-0.017813636018790466,0.27921743482304806,-0.5485185355650501,0.8003907709476724,-0.18713853662978114,25,0,0,0.0,0.0,10.0,5.0,4.0,-1.0,1.25,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0
2017-01-26,0.9782956311800286,1.112359273893516,-0.13406364271348736,False,True,False,False,59.1489,63.4254,10.38,111.0,-0.11376257233736582,1.0799640656748748,1.1937266380122407,0.07337596429241532,1.0404757744250093,0.967099810132594,-0.10934602420385839,1.1107177636043406,1.2200637878081988,-0.11390023104129549,1.0241865620952701,1.1380867931497325,-0.07097486101038604,0.07524331565034145,-0.11390023104129549,0.07337596429241532,-0.02649429094433579,0.2802482119779382,-0.5485185355650501,0.8003907709476724,-0.02030107037612154,26,0,0,0.0,0.0,10.0,5.0,4.0,-1.0,1.25,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0
2017-01-27,1.196395889745701,1.395696227360433,-0.19848347820723888,False,True,False,False,59.6356,64.0248,10.33,79.48,-0.13406364271348736,0.9782956311800286,1.112359273893516,-0.11376257233736582,1.0799640656748748,1.1937266380122407,0.07337596429241532,1.0404757744250093,0.967099810132594,-0.11390023104129549,1.0241865620952701,1.1380867931497325,-0.08935670972659751,0.072206884700715,-0.13406364271348736,0.07337596429241532,-0.09324103477727577,0.14844534207955046,-0.5485185355650501,0.07337596429241532,-0.06441983549375152,27,0,0,0.0,0.0,10.0,5.0,4.0,-1.0,1.25,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0
2017-01-28,1.196395889745701,1.395696227360433,-0.19848347820723888,False,False,False,False,60.3196,64.3429,10.33,79.48,-0.19848347820723888,1.196395889745701,1.395696227360433,-0.13406364271348736,0.9782956311800286,1.112359273893516,-0.11376257233736582,1.0799640656748748,1.1937266380122407,-0.10934602420385839,1.1107177636043406,1.2200637878081988,-0.10144003075030372,0.08323383308573401,-0.19848347820723888,0.07337596429241532,-0.10600977388638365,0.14932063601756657,-0.5485185355650501,0.07337596429241532,0.0,28,0,0,0.0,0.0,10.0,5.0,4.0,-1.0,1.25,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.19848347820723888
2017-01-29,1.196395889745701,1.395696227360433,-0.19848347820723888,False,False,False,False,60.3196,64.3429,10.33,79.48,-0.19848347820723888,1.196395889745701,1.395696227360433,-0.19848347820723888,1.196395889745701,1.395696227360433,-0.13406364271348736,0.9782956311800286,1.112359273893516,0.07337596429241532,1.0404757744250093,0.967099810132594,-0.11352335177400992,0.09111106170965622,-0.19848347820723888,0.07337596429241532,-0.11877851299549151,0.14901718194563568,-0.5485185355650501,0.07337596429241532,0.0,29,0,0,0.0,0.0,10.0,5.0,4.0,-1.0,1.25,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.19848347820723888
2017-01-30,1.3037324465467592,1.461530955066114,-0.1547027394449702,False,True,False,False,60.3196,64.3429,10.27,92.63,-0.19848347820723888,1.196395889745701,1.395696227360433,-0.19848347820723888,1.196395889745701,1.395696227360433,-0.19848347820723888,1.196395889745701,1.395696227360433,-0.11376257233736582,1.0799640656748748,1.1937266380122407,-0.12560667279771612,0.09661210061546747,-0.19848347820723888,0.07337596429241532,-0.1315472521045994,0.14752770623885877,-0.5485185355650501,0.07337596429241532,0.04378073876226868,30,0,0,0.0,0.0,10.0,5.0,4.0,-1.0,1.25,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
2017-01-31,1.2604019846416386,1.2874019288241763,-0.02699994416937068,False,True,False,True,60.1618,64.4333,10.24,108.98,-0.1547027394449702,1.3037324465467592,1.461530955066114,-0.19848347820723888,1.196395889745701,1.395696227360433,-0.19848347820723888,1.196395889745701,1.395696227360433,-0.13406364271348736,0.9782956311800286,1.112359273893516,-0.13208620354644637,0.09686044091249843,-0.19848347820723888,0.07337596429241532,-0.14674004964570267,0.13708935566619038,-0.5485185355650501,0.07337596429241532,0.12770279527559952,31,0,1,0.0,0.0,10.0,5.0,4.0,-1.0,1.25,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0
2017-02-01,0.9535028694125403,0.8601942251291382,0.09330864428340203,False,True,True,False,60.0851,64.285,10.24,162.12,-0.02699994416937068,1.2604019846416386,1.2874019288241763,-0.1547027394449702,1.3037324465467592,1.461530955066114,-0.19848347820723888,1.196395889745701,1.395696227360433,-0.19848347820723888,1.196395889745701,1.395696227360433,-0.14642561904098722,0.06282350637875324,-0.19848347820723888,-0.02699994416937068,-0.1094887216888684,0.07736023114117054,-0.19848347820723888,0.07337596429241532,0.12030858845277272,1,1,0,0.0,1.0,10.0,4.6,4.0,-0.5999999999999996,1.25,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
