Timestamp,Income,Outcome,Balance,Date,week_day,week_day_name,is_holiday,tax_day,rate_russ,real_inflation,target_inflation,real_target_diff,rate_usa
2019-07-10,1.5010317916895224,1.6853690292654286,-0.18433723757590625,2019-07-10,2,Wen,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-11,1.5010317916895224,1.7907045935945178,-0.28967280190499545,2019-07-11,3,Thu,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-12,1.7512037569711094,1.975041831170424,-0.22383807419931467,2019-07-12,4,Fri,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-15,2.1067112865817856,1.869706266841335,0.23700501974045074,2019-07-15,0,Mon,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-16,1.487864846148386,1.5141987372306585,-0.026333891082272354,2019-07-16,1,Tue,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-17,1.47469790060725,1.3693623362781608,0.10533556432908919,2019-07-17,2,Wen,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-18,1.869706266841335,1.6985359748065647,0.1711702920347702,2019-07-18,3,Thu,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-19,1.6722020837242924,1.6590351381831563,0.013166945541136066,2019-07-19,4,Fri,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-22,1.5273656827717947,1.882873212382471,-0.3555075296106762,2019-07-22,0,Mon,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-23,1.4483640095249777,1.6853690292654286,-0.23700501974045096,2019-07-23,1,Tue,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-24,1.3430284451958885,1.8960401579236073,-0.5530117127277188,2019-07-24,2,Wen,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-25,1.711702920347701,2.3832171429456452,-0.6715142225979442,2019-07-25,3,Thu,False,1,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-26,1.5536995738540669,2.1462121232051943,-0.5925125493511274,2019-07-26,4,Fri,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-29,1.8433723757590625,3.0547313655435895,-1.211358989784527,2019-07-29,0,Mon,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-30,1.6590351381831563,2.2647146330754198,-0.6056794948922635,2019-07-30,1,Tue,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-07-31,1.64586819264202,2.0672104499583774,-0.42134225731635744,2019-07-31,2,Wen,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-08-01,1.64586819264202,1.8302054302179263,-0.18433723757590625,2019-08-01,3,Thu,False,0,7.25,4.3,4.0,-0.2999999999999998,2.75
2019-08-02,1.316432742568476,1.9092071034647433,-0.5927743608962672,2019-08-02,4,Fri,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-05,2.699223835932913,2.1462121232051943,0.5530117127277188,2019-08-05,0,Mon,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-06,1.7380368114299731,1.9355409945470157,-0.19750418311704254,2019-08-06,1,Tue,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-07,1.6985359748065647,1.8302054302179263,-0.13166945541136155,2019-08-07,2,Wen,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-08,1.9487079400881517,2.3963840884867813,-0.44767614839862957,2019-08-08,3,Thu,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-09,1.975041831170424,2.3173824152399645,-0.3423405840695404,2019-08-09,4,Fri,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-12,1.8960401579236073,1.882873212382471,0.013166945541136288,2019-08-12,0,Mon,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-13,1.6853690292654286,1.7907045935945178,-0.10533556432908919,2019-08-13,1,Tue,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-14,1.4351970639838416,1.5273656827717947,-0.09216861878795313,2019-08-14,2,Wen,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-15,1.64586819264202,1.7907045935945178,-0.14483640095249783,2019-08-15,3,Thu,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-16,1.5536995738540669,1.5932004104774755,-0.03950083662340864,2019-08-16,4,Fri,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-19,1.5405326283129308,1.6853690292654286,-0.14483640095249783,2019-08-19,0,Mon,False,0,7.0,4.0,4.0,0.0,2.5
2019-08-20,1.5405326283129308,1.5141987372306585,0.026333891082272354,2019-08-20,1,Tue,False,0,7.0,4.0,4.0,0.0,2.5
