Timestamp,tax_day,lag_outcome_1,rolling_mean_7,rolling_mean_14,week_day_0,week_day_2,week_day_3,week_day_5,month_2,month_4,month_5,month_8,month_11,month_12,Balance
2017-01-27,0,1.112359273893516,-0.0754126461916156,-0.036247320676760085,0,0,0,0,0,0,0,0,0,0,-0.1993003376147319
2017-01-30,0,1.395696227360433,-0.08605536361916154,-0.04013760186691968,1,0,0,0,0,0,0,0,0,0,-0.1577985085193547
2017-01-31,0,1.461530955066114,-0.10782790745012072,-0.04243948576870044,0,0,0,0,0,0,0,0,0,0,-0.0269999441825377
2017-02-01,0,1.2874019288241765,-0.09541358075413149,-0.04492281011138185,0,1,0,0,1,0,0,0,0,0,0.093308644283402
2017-02-02,0,0.8601942251291382,-0.06646291382738004,-0.09517384405309386,0,0,1,0,1,0,0,0,0,0,0.083316045909259
2017-02-03,0,0.8989108102198515,-0.06504290216783092,-0.08781404572530903,0,0,0,0,1,0,0,0,0,0,0.0067911989406856
2017-02-06,0,0.9807645904058157,-0.047820934842395,-0.09147156195315116,1,0,0,0,1,0,0,0,0,0,-0.0322822404079951
2017-02-07,0,0.9434745893533296,-0.03328073451303897,-0.05434669035232729,0,0,0,0,1,0,0,0,0,0,-0.0412892913283505
2017-02-08,0,0.9532203415877984,-0.01070772790069877,-0.048381545759930145,0,1,0,0,1,0,0,0,0,0,0.196943764668274
2017-02-09,0,0.9054784032195878,0.03996973969753391,-0.033929083876293405,0,0,1,0,1,0,0,0,0,0,0.4293152890166318
2017-02-10,0,1.0717165026728903,0.10515763015455812,0.004872024700213314,0,0,0,0,1,0,0,0,0,0,0.1835528843680576
2017-02-13,0,0.9641494958447594,0.11804966445236606,0.025793375312493014,1,0,0,0,1,0,0,0,0,0,-0.1904698878511033
2017-02-14,0,1.29294362217197,0.07893738820088572,0.006947243016527406,0,0,0,0,1,0,0,0,0,0,-0.0861777707491122
2017-02-15,0,1.0685305557955502,0.0656561068166289,0.00891758598711695,0,1,0,0,1,0,0,0,0,0,0.0341705493173385
2017-02-16,0,1.0455795814722522,0.07514936249167656,0.020934313989318793,0,0,1,0,1,0,0,0,0,0,0.2700950947471279
2017-02-17,0,0.8573460728820845,0.11963284621674489,0.05446255915802306,0,0,0,0,1,0,0,0,0,0,0.0840863905272406
2017-02-20,0,0.9187118264698813,0.10351036419659725,0.07174005194706558,1,0,0,0,1,0,0,0,0,0,-0.0247585182815484
2017-02-21,0,1.1444110985216631,0.03864267743971438,0.07190015379713624,0,0,0,0,1,0,0,0,0,0,0.1310689302226371
2017-02-22,0,1.1564679953704229,0.03114496970465431,0.07459731707851018,0,1,0,0,1,0,0,0,0,0,0.0131669455411362
2017-02-27,1,1.422030118442705,0.06023594590354566,0.0695866670522157,1,0,0,0,1,0,0,0,0,0,-0.1185025098702254
2017-02-28,0,1.882873212382471,0.05561812602910093,0.06063711642286491,0,0,0,0,1,0,0,0,0,0,-0.2106711286581786
2017-03-01,0,1.711702920347701,0.020640743461169914,0.047895052976423234,0,1,0,0,0,0,0,0,0,0,-0.1976679565219118
2017-03-02,0,1.1401593375688304,-0.04618254957726432,0.03672514831974028,0,0,1,0,0,0,0,0,0,0,0.1627498100782146
2017-03-03,0,0.8674934692546655,-0.034944918212839474,0.03428272299187889,0,0,0,0,0,0,0,0,0,0,0.0687924317310292
2017-03-06,0,0.9122794827942108,-0.02158049678247124,0.008531090328621569,1,0,0,0,0,0,0,0,0,0,-0.0887385478525917
2017-03-07,0,1.089702311078183,-0.0529815650789325,-0.010918297687139098,0,0,0,0,0,0,0,0,0,0,0.0519414223338227
2017-03-09,0,0.8876461851668224,-0.04744235410854871,0.006396795897498475,0,0,1,0,0,0,0,0,0,0,0.2926562479672241
2017-03-10,0,1.0635391427698004,0.011294611296801213,0.03345636866295107,0,0,0,0,0,0,0,0,0,0,0.1168507219637045
2017-03-13,0,1.0095617742266925,0.05808344709992737,0.03936209528054864,1,0,0,0,0,0,0,0,0,0,-0.1696565352328995
2017-03-14,0,1.4088631729015693,0.06208507871264341,0.007951264567689542,0,0,0,0,0,0,0,0,0,0,0.3533655382045322
2017-03-15,0,1.1213323624027178,0.08931589701640308,0.0271854894017818,0,1,0,0,0,0,0,0,0,0,0.0090185704703382
2017-03-16,0,1.24845382430024,0.0807767739791615,0.029598138598345126,0,0,1,0,0,0,0,0,0,0,0.0417587133983256
2017-03-17,0,0.9844830493915376,0.09941923987214969,0.023218837396608592,0,0,0,0,0,0,0,0,0,0,0.0598947918079868
2017-03-20,0,1.0308713149319388,0.10055543551131599,0.026556540701383635,1,0,0,0,0,0,0,0,0,0,-0.1185025098702254
2017-03-21,0,1.4351970639838416,0.041818470105966066,0.026556540701383635,0,0,0,0,0,0,0,0,0,0,0.0910738352070563
2017-03-22,0,1.0765658477006557,0.03813605771215917,0.04810975240604327,0,1,0,0,0,0,0,0,0,0,0.0237532055834683
2017-03-23,0,1.0837461450372363,0.065766020685926,0.0639255496992847,0,0,1,0,0,0,0,0,0,0,0.0793352480158942
2017-03-24,0,1.0325245714137308,0.02661883637326343,0.057967366694833246,0,0,0,0,0,0,0,0,0,0,-0.0172761241555907
2017-03-27,1,1.114761417822829,0.02286245142670216,0.051819612702931825,1,0,0,0,0,0,0,0,0,0,1.3561953907370246
2017-03-28,0,1.487864846148386,0.21063911961794488,0.1550291797450473,0,0,0,0,0,0,0,0,0,0,-1.2508598264079351
2017-03-29,0,2.5938882716038236,0.02338845987281316,0.061971947692064565,0,1,0,0,0,0,0,0,0,0,0.3365830620215184
