index,value,rolling_mean,rolling_std,segment_id
2017-01-09,-0.1448364009524976,-0.1448364009524976,0.0,0
2017-01-10,-0.125572133894424,-0.1352042674234608,0.013621893871352467,0
2017-01-11,0.007766596615002008,-0.0875473127439732,0.08310435598865683,0
2017-01-12,0.7968231194673701,0.1335452953088626,0.44736113823019147,0
2017-01-13,-0.019721130679728804,0.10289201011114432,0.39344263935931323,0
2017-01-16,0.05799642613047551,0.14345857552773894,0.37135106655577443,0
2017-01-17,-0.5520304428195292,0.058166913742717916,0.4812900821509953,0
2017-01-18,-0.12480131562191044,0.03165333129533543,0.48836024188782234,0
2017-01-19,-0.005390701702640444,-0.12878943293866668,0.2455407074708846,0
2017-01-20,-0.11390023105446234,-0.14762525301361337,0.23859631665578623,0
2017-01-23,-0.1093460242038582,-0.18109374308048012,0.21289500614991422,0
2017-01-24,0.07337596429241522,-0.05601246165809124,0.08693574713560494,0
2017-01-25,-0.11376257233736586,-0.05380471300118232,0.08486768319457026,0
2017-01-26,-0.13406364271348736,-0.0795393012033517,0.08601791784583165,0
2017-01-27,-0.19930033761473198,-0.09661932251540564,0.10161166943826248,0
2017-01-30,-0.15779850851935473,-0.10630981937850495,0.10536973080668513,0
2017-01-31,-0.026999944182537705,-0.12638500107349554,0.0640295469506577,0
2017-02-01,0.09330864428340202,-0.08497075774934196,0.11824699349589032,0
2017-02-02,0.083316045909259,-0.04149482002479268,0.1345259798418597,0
2017-02-03,0.006791198940685694,-0.00027651271370914275,0.10164050738682028,0
2017-02-06,-0.0322822404079951,0.024826740908562784,0.05996559784144465,0
2017-02-07,-0.041289291328350575,0.021968871479400208,0.06330082748427789,0
2017-02-08,0.196943764668274,0.04269589555637461,0.09925570697455016,0
2017-02-09,0.42931528901663185,0.11189574417784917,0.2020447011225377,0
2017-02-10,0.1835528843680576,0.14724808126332356,0.19437533706111326,0
2017-02-13,-0.1904698878511033,0.11561055177470192,0.23871777820950746,0
2017-02-14,-0.08617777074911226,0.10663285589054958,0.2468008720392845,0
2017-02-15,0.03417054931733854,0.07407821282036249,0.2426099665409071,0
2017-02-16,0.2700950947471279,0.042234173966461695,0.18881035929146867,0
2017-02-17,0.08408639052724065,0.022340875198298304,0.17492807132159857,0
2017-02-20,-0.024758518281548403,0.055483149112209286,0.13586500739774243,0
2017-02-21,0.1310689302226371,0.09893248930655915,0.11185187662065671,0
2017-02-22,0.013166945541136288,0.0947317685513187,0.11523536627935037,0
2017-02-27,-0.11850250987022548,0.01701224762784803,0.0969944588916991,0
2017-02-28,-0.2106711286581786,-0.04193925620923582,0.1299962310903875,0
2017-03-01,-0.19766795652191183,-0.0765211438573085,0.14626414117072364,0
2017-03-02,0.16274981007821465,-0.070184967886193,0.15774109394879535,0
2017-03-03,0.06879243173102922,-0.059059870648214406,0.16679129778726948,0
2017-03-06,-0.08873854785259172,-0.053107078244687654,0.16465689015811974,0
2017-03-07,0.05194142233382271,-0.0005845680462873926,0.14218232398012362,0
2017-03-09,0.2926562479672241,0.09748027285153979,0.14135770413317658,0
2017-03-10,0.1168507219637045,0.08830045522863776,0.13749705326141057,0
2017-03-13,-0.16965653523289959,0.040610661835852005,0.1805626086709553,0
2017-03-14,0.3533655382045322,0.1290314790472768,0.20760817220422986,0
2017-03-15,0.009018570470338272,0.1204469086745799,0.21242431581772764,0
2017-03-16,0.0417587133983256,0.0702674017608002,0.19002777479107713,0
2017-03-17,0.05989479180798685,0.058876215729656664,0.18823589621026035,0
2017-03-20,-0.11850250987022548,0.06910702080219149,0.1735249676985153,0
2017-03-21,0.09107383520705636,0.01664868020269632,0.08118482984237398,0
2017-03-22,0.023753205583468384,0.01959560722532234,0.08110601117999154,0
2017-03-23,0.0793352480158942,0.02711091414883606,0.0853052788722558,0
2017-03-24,-0.017276124155590766,0.01167673095612054,0.08487095924818792,0
2017-03-27,1.3561953907370246,0.30661631107757054,0.5883556175988843,0
2017-03-28,-1.2508598264079351,0.038229578754572245,0.9224648368011046,0
2017-03-29,0.33658306202151844,0.10079555004218226,0.931799097488224,0
2017-03-30,-0.03950083662340842,0.07702833311432174,0.9339963009650194,0
2017-03-31,-0.03950083662340842,0.0725833906207582,0.9346099841692379,0
2017-04-03,-0.05822854689810142,-0.21030139690626698,0.6048380508696518,0
2017-04-04,-0.21511312552168738,-0.0031520567290174383,0.20372980449920627,0
2017-04-05,0.042070045496471975,-0.06205466003402673,0.0939425851276389,0
2017-04-06,0.25427420308553594,-0.003299652092237859,0.17146089722057184,0
2017-04-07,0.034759948200075774,0.01155250487245898,0.17075598941410872,0
2017-04-10,0.08928117470320251,0.041054449192719764,0.16841240973963076,0
2017-04-11,0.12463439719992975,0.10900395373704319,0.08906327042048325,0
2017-04-12,0.0006010286005535548,0.1007101503578595,0.0983058680665807,0
2017-04-13,0.15714753065004783,0.08128481587076189,0.06397795770754616,0
2017-04-14,-0.015037690429808848,0.07132528814478496,0.07581262631537768,0
2017-04-17,-0.14848014344739946,0.023773024514664565,0.12214350397066327,0
2017-04-18,-0.07066338220838952,-0.01528653136699929,0.11268664088454294,0
2017-04-19,0.11004375168198366,0.006602013249286731,0.12634559697085576,0
2017-04-20,0.12466872866739998,0.00010625285275716046,0.11717258794210457,0
2017-04-21,-0.08716249195073311,-0.014318707451427692,0.12375758447742255,0
2017-04-24,-0.1304687508505702,-0.01071642893206184,0.11904874892581982,0
2017-04-25,-0.18608390304225697,-0.03380053309883533,0.14246591954391677,0
